Tipo,X Original,Y Original,X Normalizado,Y Normalizado
Imputación (similitud),32.0,5.64,0.24,0.3119777158774374
Imputación (correlacion),32.0,5.663185630063106,0.24,0.3184361086526759
Imputación (final),32.0,5.660635593677852,0.24,0.31772579211082236
Teórico,32.0,5.598402264506998,0.24,0.30039060292674047
Teórico,32.0,5.770388689490948,0.24,0.34829768509497183
Teórico,32.0,5.663185630063106,0.24,0.3184361086526759
Teórico,32.0,5.521357786795156,0.24,0.27892974562539186
Teórico,1.0,6.782222222222222,-0.38,0.6301454658000619
Teórico,1.0,6.677206981950597,-0.38,0.6008933097355426
Teórico,1.0,6.677206981950597,-0.38,0.6008933097355426
Teórico,0.23,5.962896825396824,-0.3954,0.4019211212804526
Teórico,0.23,5.97697113578988,-0.3954,0.40584154200275213
Teórico,0.23,5.955313097237065,-0.3954,0.3998086621830266
Teórico,0.23,5.898699299518441,-0.3954,0.3840388020942734
Teórico,0.23,5.9051869961178465,-0.3954,0.38584595992140586
Teórico,20.0,5.961143018702726,0.0,0.4014325957389211
Teórico,20.0,4.94699204596319,0.0,0.11893928856913394
Teórico,20.0,4.84005711581947,0.0,0.0891523999497133
Teórico,20.0,4.915639911196766,0.0,0.1102061033974279
Teórico,20.0,5.869233917012786,0.0,0.3758311746553723
