Modelo,Distancia de carrera requerida para despegue,Altitud a la que se realiza el crucero,Velocidad a la que se realiza el crucero (m/s TAS),Techo de servicio máximo,Velocidad de pérdida limpia (m/s CAS),Área del ala,Relación de aspecto del ala,Longitud del fuselaje,Profundidad del fuselaje,Ancho del fuselaje,Peso máximo al despegue (MTOW),Alcance de la aeronave (km),Autonomía de la aeronave (h),Velocidad máxima (m/s IAS),Velocidad de pérdida (m/s CAS),Tasa de ascenso,Radio de giro,Envergadura,Cuerda,Payload,duracion en VTOL,Velocidad crucero (m/s IAS),Battery Weight,Peso frame,Peso vacio - fuel y battery,Peso Vacio (MTOW - payload),Maximum Crosswind (rachas),Maximum Crosswind (sostenido),Rango de comunicación,Wing Loading,Potencia específica (P/W),Capacidad combustible,Consumo,Potencia Watts,Potencia HP,Precio,Tiempo de emergencia en vuelo,Despegue,Propulsión horizontal,Propulsión vertical,Cantidad de motores propulsión vertical,Cantidad de motores propulsión horizontal,Misión,Clase,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,aeronave,dv_Peso máximo al despegue (MTOW),viol_Peso máximo al despegue (MTOW),dv_Autonomía de la aeronave (h),viol_Autonomía de la aeronave (h),dv_Velocidad crucero (m/s IAS),viol_Velocidad crucero (m/s IAS),distancia,similitud,distancia_media,similitud_media,segmento
Stalker XE,Nan,Nan,16.63,12000,Nan,0.87,15.301255230125523,2.1,Nan,0.211,13.6,370,8,20,Nan,Nan,Nan,3.657,0.239,2.494756,2,15.43332,Nan,Nan,Nan,10.886208,Nan,Nan,59,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,datos que se pueden obtener a partir de otros datos,Stalker XE,0.0,False,0.0,False,0.3188422360248447,True,0.3188422360248447,0.72699023312869,0.1062807453416149,0.8991721742379284,Vigilancia / fotogrametría y carga
Fulmar X,Nan,Nan,29.95,9.842,Nan,1.120935361841553,15.01422016768377,1.2,Nan,0.2245933180584796,20.0,800,8,41.7,Nan,Nan,Nan,3,0.3119019189967417,Nan,Nan,27.8,Nan,Nan,Nan,16.03244582924432,Nan,Nan,120.2393653942734,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,,Fulmar X,0.0,False,0.0,False,0.3478260869565218,True,0.3478260869565218,0.7062216866978063,0.11594202898550726,0.8905268465458593,Vigilancia / fotogrametría y carga
ScanEagle 3,Nan,Nan,25.32,20,Nan,1.022686546831195,13.38887299375229,2.4,Nan,0.2346400380289654,36.3,1522.8,18,41.2,Nan,Nan,Nan,4,0.2924160207644709,8.6,Nan,23.5,Nan,Nan,Nan,27.7,Nan,Nan,122.7250235700537,Nan,Nan,Nan,Nan,170,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,,ScanEagle 3,0.1510791366906474,True,0.22099447513812154,True,0.0,False,0.37207361182876897,0.6893034997654172,0.12402453727625633,0.8833581654134854,Vigilancia / fotogrametría y carga
V32,Nan,Nan,21.55,16000,17,0.9486181819524878,Nan,1,Nan,Nan,23.5,324,4.5,33,17,Nan,150,3.2,Nan,5,Nan,20,Nan,6.45,Nan,18.5,Nan,Nan,30,25,Nan,Nan,Nan,Nan,Nan,69999,0.108,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,V32,0.0,False,0.38674033149171266,True,0.0,False,0.38674033149171266,0.6792674563950164,0.12891344383057088,0.8790500494577872,Vigilancia / fotogrametría y carga
V39,Nan,Nan,26.93,16000,17,0.9486181819524878,Nan,1,Nan,Nan,24.0,405,4.5,33,17,Nan,Nan,3.9,Nan,5,Nan,25,Nan,Nan,Nan,19,Nan,Nan,30,Nan,Nan,Nan,Nan,Nan,Nan,8999,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,V39,0.0,False,0.38674033149171266,True,0.0,False,0.38674033149171266,0.6792674563950164,0.12891344383057088,0.8790500494577872,Vigilancia / fotogrametría y carga
V25,Nan,Nan,21.55,16000,15.5,0.52,Nan,0.93,Nan,Nan,12.5,288,4,33,15.5,Nan,120,2.45,Nan,2.2,Nan,20,Nan,3.45,Nan,10.3,Nan,Nan,30,24,Nan,Nan,Nan,Nan,Nan,4679,0.108,2.0,1.0,1.0,4.0,1.0,1.0,2.0,,,,,V25,0.0,False,0.4419889502762431,True,0.0,False,0.4419889502762431,0.6427567377006868,0.14732965009208102,0.863009439378743,Vigilancia / fotogrametría y carga
T-Drones VA32,Nan,Nan,23.7,15000,15.75169973508119,Nan,Nan,1.98,Nan,Nan,25.0,300,4,32.98405137757357,38,Nan,Nan,3.2,Nan,5,Nan,22,Nan,Nan,Nan,20,Nan,10.7,10,Nan,Nan,Nan,Nan,Nan,Nan,Nan,12890,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,T-Drones VA32,0.0,False,0.4419889502762431,True,0.0,False,0.4419889502762431,0.6427567377006868,0.14732965009208102,0.863009439378743,Vigilancia / fotogrametría y carga
JOUAV CW-25E,Nan,Nan,20.9,13000,14.93636217323157,Nan,Nan,2.18,Nan,Nan,31.58,244.44,3.5,32.17474223911945,Nan,Nan,Nan,4.35,Nan,6,Nan,19.4,Nan,Nan,Nan,25.58,Nan,17,200,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,JOUAV CW-25E,0.037889688249400436,True,0.49723756906077343,True,0.0,False,0.5351272573101739,0.5855947641883655,0.17837575243672463,0.8366279994102502,Vigilancia / fotogrametría y carga
V21,Nan,Nan,19.39,15000,14,0.8,Nan,0.93,Nan,Nan,10.0,194.4,3,33,14,Nan,100,2.15,Nan,1.5,Nan,18,Nan,2.65,Nan,8.5,Nan,Nan,30,12.5,Nan,Nan,Nan,Nan,Nan,3999,0.108,2.0,1.0,1.0,4.0,1.0,1.0,2.0,,,,,V21,0.0,False,0.5524861878453038,True,0.0,False,0.5524861878453038,0.5755171863986698,0.18416206261510126,0.8318009890592192,Vigilancia / fotogrametría y carga
Skyeye 2930 VTOL,Nan,Nan,25.85,Nan,18,1,Nan,2.03,Nan,Nan,28.0,259.2,3,30,18,Nan,Nan,2.93,Nan,6,Nan,24,Nan,7.1,Nan,22,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,6799,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Skyeye 2930 VTOL,0.0,False,0.5524861878453038,True,0.0,False,0.5524861878453038,0.5755171863986698,0.18416206261510126,0.8318009890592192,Vigilancia / fotogrametría y carga
