Modelo,Distancia de carrera requerida para despegue,Altitud a la que se realiza el crucero,Velocidad a la que se realiza el crucero (m/s TAS),Techo de servicio máximo,Velocidad de pérdida limpia (m/s CAS),Área del ala,Relación de aspecto del ala,Longitud del fuselaje,Profundidad del fuselaje,Ancho del fuselaje,Peso máximo al despegue (MTOW),Alcance de la aeronave (km),Autonomía de la aeronave (h),Velocidad máxima (m/s IAS),Velocidad de pérdida (m/s CAS),Tasa de ascenso,Radio de giro,Envergadura,Cuerda,Payload,duracion en VTOL,Velocidad crucero (m/s IAS),Battery Weight,Peso frame,Peso vacio - fuel y battery,Peso Vacio (MTOW - payload),Maximum Crosswind (rachas),Maximum Crosswind (sostenido),Rango de comunicación,Wing Loading,Potencia específica (P/W),Capacidad combustible,Consumo,Potencia Watts,Potencia HP,Precio,Tiempo de emergencia en vuelo,Despegue,Propulsión horizontal,Propulsión vertical,Cantidad de motores propulsión vertical,Cantidad de motores propulsión horizontal,Misión,Clase,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,aeronave,dv_Peso máximo al despegue (MTOW),viol_Peso máximo al despegue (MTOW),dv_Autonomía de la aeronave (h),viol_Autonomía de la aeronave (h),dv_Velocidad crucero (m/s IAS),viol_Velocidad crucero (m/s IAS),distancia,similitud,distancia_media,similitud_media,segmento
YANGDA Sky Whale Mini Electric Long Endurance VTOL Drone,Nan,Nan,29.84,11500,16,Nan,Nan,1.67,Nan,Nan,18.5,319.1,3.2,33.3,16,Nan,Nan,3.378,Nan,8.5,Nan,27.7,5.1,Nan,10,10,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,YANGDA Sky Whale Mini Electric Long Endurance VTOL Drone,0.0,False,0.5303867403314917,True,0.3354037267080744,True,0.8657904670395661,0.42071885676289206,0.288596822346522,0.7493142512710507,Vigilancia / fotogrametría y carga
JOUAV CW-007 ,Nan,Nan,Nan,19500,Nan,Nan,Nan,Nan,Nan,Nan,7.0,Nan,0.92,Nan,Nan,Nan,Nan,Nan,Nan,1,Nan,17,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,JOUAV CW-007 ,0.0,False,0.7823204419889502,True,0.12422360248447203,True,0.9065440444734223,0.40391773642171996,0.30218134815780745,0.7392039994500949,Vigilancia / fotogrametría y carga
Raybe (BETA UAS),Nan,Nan,18.31,Nan,14,Nan,Nan,1.27,Nan,Nan,5.2,50.8,0.83,22,14,Nan,Nan,1.83,Nan,0.5,Nan,17,Nan,Nan,Nan,3.65,Nan,Nan,8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,3.0,2.0,1.0,3.0,,,,,Raybe (BETA UAS),0.0,False,0.7922651933701657,True,0.12422360248447203,True,0.9164887958546377,0.399920782253157,0.3054962652848792,0.7367576564043204,Vigilancia / fotogrametría y carga
DeltaQuad Pro #MAP,Nan,Nan,17.24,13.123,Nan,Nan,Nan,0.9,Nan,Nan,6.2,100,1.83,38.89213671936784,Nan,Nan,Nan,2.35,Nan,1.2,Nan,16,Nan,Nan,Nan,5,Nan,50,50,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,DeltaQuad Pro #MAP,0.0,False,0.6817679558011049,True,0.24844720496894407,True,0.9302151607700491,0.3944688270235626,0.310071720256683,0.7333943551066309,Vigilancia / fotogrametría y carga
DeltaQuad Pro #CARGO,Nan,Nan,17.24,13.123,Nan,Nan,Nan,0.9,Nan,Nan,6.2,100,1.83,38.89213671936784,Nan,Nan,Nan,2.35,Nan,1.2,Nan,16,Nan,Nan,Nan,5,Nan,50,30,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,DeltaQuad Pro #CARGO,0.0,False,0.6817679558011049,True,0.24844720496894407,True,0.9302151607700491,0.3944688270235626,0.310071720256683,0.7333943551066309,Vigilancia / fotogrametría y carga
Event 38 E400 VTOL,Nan,Nan,17.24,Nan,Nan,Nan,Nan,1.5,Nan,Nan,9.3,86,1.5,38.63810093637549,Nan,Nan,Nan,3,Nan,1.3,Nan,16,Nan,Nan,Nan,8,Nan,12,8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,Event 38 E400 VTOL,0.0,False,0.718232044198895,True,0.24844720496894407,True,0.9666792491678391,0.380343970880691,0.3222264163892797,0.7245341253565312,Vigilancia / fotogrametría y carga
HYFLY H405,Nan,Nan,26.93,Nan,Nan,Nan,Nan,1.5,Nan,Nan,25.0,Nan,Nan,Nan,Nan,Nan,Nan,1.5,Nan,5,Nan,25,Nan,Nan,Nan,20,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,4.0,4.0,4.0,4.0,5.0,3.0,,,,,HYFLY H405,0.0,False,0.0,False,0.0,False,1.0,0.36787944117144233,0.3333333333333333,0.7165313105737893,Carga
Aerovel Flexrotor,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2,Nan,Nan,25.0,Nan,14,38.9,Nan,Nan,Nan,3,Nan,8,Nan,Nan,Nan,Nan,Nan,17,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,Aerovel Flexrotor,0.0,False,0.0,False,0.0,False,1.0,0.36787944117144233,0.3333333333333333,0.7165313105737893,Vigilancia / fotogrametría y carga
Aerosonde Mk. 4.8 Fixed wing,Nan,Nan,26.93,18200,Nan,1.55,12.500000000000002,3,Nan,0.277,54.4,1782,19.8,33.43886,Nan,Nan,Nan,4.4,0.352,17.7,Nan,25,Nan,Nan,Nan,36.7,Nan,Nan,140,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,alcance =tiempo * velocidad crucero,Aerosonde Mk. 4.8 Fixed wing,0.5851318944844124,True,0.419889502762431,True,0.0,False,1.0050213972468434,0.3660368025404035,0.3350071324156145,0.7153329842822183,Vigilancia / fotogrametría y carga
Skyeye 3600 VTOL,Nan,Nan,32.32,Nan,24,1.32,Nan,2.42,Nan,Nan,40.0,300,6,33,24,Nan,Nan,3.6,Nan,10,Nan,30,Nan,11,Nan,30,Nan,Nan,Nan,Nan,Nan,11.5,Nan,Nan,Nan,6999,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Skyeye 3600 VTOL,0.2398081534772182,True,0.22099447513812154,True,0.6211180124223602,True,1.0819206410377,0.3389439105018683,0.3606402136792333,0.6972298070924335,Vigilancia / fotogrametría y carga
Puma LE,Nan,Nan,Nan,12000,Nan,0.8756675333935561,15.37442539876206,2.2,Nan,0.2023257147071444,10.7,Nan,6.5,Nan,Nan,Nan,Nan,4.6,0.258555268487913,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,60,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,Puma LE,0.0,False,0.16574585635359115,True,0.0,False,1.1657458563535912,0.3116900992733277,0.3885819521178637,0.6780176546202418,Vigilancia / fotogrametría y carga
Aliaca VTOL UAS ER,Nan,Nan,Nan,10000,Nan,Nan,Nan,2.2,Nan,Nan,27.0,Nan,6,Nan,Nan,Nan,Nan,3.5,Nan,3,Nan,Nan,Nan,Nan,Nan,24,Nan,Nan,80,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,2.0,4.0,1.0,1.0,1.0,,,,,Aliaca VTOL UAS ER,0.0,False,0.22099447513812154,True,0.0,False,1.2209944751381214,0.2949367138030863,0.4069981583793738,0.6656454161667206,Vigilancia / fotogrametría y carga
P550,Nan,Nan,Nan,12000,Nan,Nan,Nan,2.8,Nan,Nan,25.0,Nan,5,Nan,Nan,Nan,Nan,5.2,Nan,6.8,Nan,Nan,Nan,Nan,Nan,18.2,Nan,Nan,60,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,P550,0.0,False,0.3314917127071823,True,0.0,False,1.3314917127071824,0.26408303132042077,0.44383057090239414,0.6415741129422594,Vigilancia / fotogrametría y carga
YANGDA Sky Whale Max Electric Heavy Lift Long Endurance VTOL Drone,Nan,Nan,26.93,15000,16,Nan,Nan,Nan,Nan,Nan,68.0,360,4,36.1,16,4,Nan,Nan,Nan,20,Nan,25,Nan,Nan,32,48,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,3.0,,,,,YANGDA Sky Whale Max Electric Heavy Lift Long Endurance VTOL Drone,0.9112709832134291,True,0.4419889502762431,True,0.0,False,1.3532599334896722,0.25839653063740087,0.4510866444965574,0.636935652818112,Vigilancia / fotogrametría y carga
Skyeye 3600,50,Nan,Nan,Nan,12.5,1.33,Nan,2.488,Nan,Nan,28.0,Nan,4.5,Nan,12.5,Nan,Nan,3.6,Nan,10,Nan,Nan,Nan,11.5,Nan,18,Nan,Nan,Nan,Nan,Nan,11.5,Nan,Nan,Nan,4999,Nan,3.0,2.0,5.0,0.0,1.0,1.0,3.0,,,,,Skyeye 3600,0.0,False,0.38674033149171266,True,0.0,False,1.3867403314917126,0.2498885322645457,0.4622467771639042,0.6298668839979426,Vigilancia / fotogrametría y carga
RQ Nan 21A Blackjack,Nan,Nan,33.29,20,Nan,1.097774439984101,12.50833744325096,2.5,Nan,0.2765400831686758,61.0,1779.84,16,46.3,Nan,Nan,Nan,4.8,0.3067215045531159,17.7,Nan,30.9,Nan,Nan,Nan,43.3,Nan,Nan,92.6,Nan,Nan,Nan,Nan,Nan,8,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,,RQ Nan 21A Blackjack,0.7434052757793764,True,0.0,False,0.7329192546583848,True,1.4763245304377612,0.22847590325167705,0.49210817681258706,0.611336229850519,Vigilancia / fotogrametría y carga
Autel Dragonfish Pro,Nan,Nan,Nan,Nan,15.14712477155822,Nan,Nan,1.66,Nan,Nan,19.0,Nan,3,30,Nan,Nan,Nan,2.98,Nan,2.2,Nan,Nan,Nan,Nan,Nan,16.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,2.0,1.0,3.0,,,,,Autel Dragonfish Pro,0.0,False,0.5524861878453038,True,0.0,False,1.5524861878453038,0.21172094091690347,0.5174953959484346,0.5960114528271764,Vigilancia / fotogrametría y carga
Aliaca VTOL UAS EVO,Nan,Nan,Nan,10000,Nan,Nan,Nan,2.2,Nan,Nan,27.0,Nan,3,34.51681105500931,Nan,Nan,Nan,3.5,Nan,2,Nan,Nan,Nan,Nan,Nan,25,Nan,13.8,50,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,1.0,1.0,1.0,,,,,Aliaca VTOL UAS EVO,0.0,False,0.5524861878453038,True,0.0,False,1.5524861878453038,0.21172094091690347,0.5174953959484346,0.5960114528271764,Vigilancia / fotogrametría y carga
Shield AI V-BAT 128,Nan,Nan,14.11,18000,Nan,Nan,Nan,2.74,Nan,Nan,73.0,613.08,13,25,Nan,Nan,Nan,2.9,Nan,11.3,Nan,13.1,Nan,Nan,Nan,61.7,Nan,Nan,130,Nan,Nan,Nan,Nan,Nan,23,Nan,Nan,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,Shield AI V-BAT 128,1.0311750599520384,True,0.0,False,0.6086956521739131,True,1.6398707121259515,0.19400512317945998,0.5466235707086505,0.5789011330175474,Vigilancia / fotogrametría y carga
Skyeye 2600,Nan,Nan,35.55,Nan,10,0.88,Nan,2.05,Nan,Nan,15.0,237.6,2,31.20599498406514,10,Nan,Nan,2.6,Nan,4,Nan,33,Nan,6.5,Nan,11,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2299,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Skyeye 2600,0.0,False,0.6629834254143646,True,0.9937888198757763,True,1.6567722452901408,0.19075369362861797,0.5522574150967136,0.5756488641088247,Vigilancia / fotogrametría y carga
Autel Dragonfish,Nan,Nan,Nan,Nan,14.41646843979265,Nan,Nan,1.29,Nan,Nan,9.0,Nan,1.75,30,Nan,Nan,Nan,2.3,Nan,1.5,Nan,Nan,Nan,Nan,Nan,7.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,2.0,1.0,3.0,,,,,Autel Dragonfish,0.0,False,0.6906077348066297,True,0.0,False,1.6906077348066297,0.18440741912422176,0.56353591160221,0.5691928857071399,Vigilancia / fotogrametría y carga
AeroVironment JUMP 20,Nan,Nan,27.79,17000,Nan,2.556145734294742,Nan,2.9,Nan,Nan,97.5,1207.44,13,41.44066058286599,Nan,Nan,Nan,5.7,Nan,13,Nan,25.8,Nan,Nan,Nan,84.5,Nan,Nan,185,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,,AeroVironment JUMP 20,1.618705035971223,True,0.0,False,0.09937888198757772,True,1.7180839179588006,0.17940958226081485,0.5726946393196002,0.5640036029362736,Vigilancia / fotogrametría y carga
AeroVironment JUMP 20-X,Nan,Nan,27.79,17000,Nan,2.556145734294742,Nan,2.9,Nan,Nan,97.5,1207.44,13,41.44066058286599,Nan,Nan,Nan,5.7,Nan,13.6,Nan,25.8,Nan,Nan,Nan,83.9,Nan,Nan,185,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,2.0,1.0,1.0,4.0,1.0,1.0,,,,,AeroVironment JUMP 20-X,1.618705035971223,True,0.0,False,0.09937888198757772,True,1.7180839179588006,0.17940958226081485,0.5726946393196002,0.5640036029362736,Vigilancia / fotogrametría y carga
Raven B (RQ-11B),Nan,Nan,Nan,Nan,Nan,Nan,Nan,0.9,Nan,Nan,2.2,Nan,1.5,Nan,Nan,Nan,Nan,1.4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,10,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,,,,Raven B (RQ-11B),0.0,False,0.718232044198895,True,0.0,False,1.718232044198895,0.17938300896210765,0.572744014732965,0.5639757557127292,Vigilancia / fotogrametría y carga
SwoopAero Kite™,Nan,Nan,36.41,10000,15.06795842261387,Nan,Nan,Nan,Nan,Nan,24.9,225,1.85,55.5,Nan,Nan,Nan,2.7,Nan,Nan,Nan,33.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,1.0,4.0,2.0,1.0,3.0,,,,,SwoopAero Kite™,0.0,False,0.6795580110497238,True,1.0931677018633537,True,1.7727257129130773,0.16986934216913963,0.5909085709710258,0.5538238677847941,Vigilancia / fotogrametría y carga
Ruppel (BETA UAS),Nan,Nan,Nan,Nan,Nan,0.9635710179057444,13.16530721999129,2.3,Nan,0.2582948699510208,30.0,Nan,1,Nan,Nan,Nan,Nan,3.9,0.3260255383989831,10,Nan,Nan,Nan,Nan,Nan,20,Nan,Nan,50,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Ruppel (BETA UAS),0.0,False,0.7734806629834253,True,0.0,False,1.7734806629834252,0.16974114769362195,0.5911602209944751,0.5536845155302137,Vigilancia / fotogrametría y carga
YANGDA Sky Whale Max Hybrid Heavy Lift Long Endurance VTOL Drone,Nan,Nan,26.93,9700,Nan,1.55,12.5,2.58,Nan,0.277,65.0,1080,10,33.43886,Nan,Nan,Nan,4.8,0.352,11.3,Nan,Nan,Nan,Nan,37.5,Nan,Nan,Nan,140,Nan,Nan,Nan,Nan,2980,4,Nan,Nan,2.0,1.0,2.0,4.0,1.0,1.0,3.0,,,,,YANGDA Sky Whale Max Hybrid Heavy Lift Long Endurance VTOL Drone,0.8393285371702637,True,0.0,False,0.0,False,1.8393285371702637,0.15892410191567807,0.6131095123900879,0.5416639369423855,Vigilancia / fotogrametría y carga
Minibe (BETA UAS / PT Pindad),Nan,Nan,Nan,Nan,Nan,Nan,Nan,0.8,Nan,Nan,6.0,Nan,0.25,Nan,Nan,Nan,Nan,1.3,Nan,0.8,Nan,Nan,Nan,Nan,Nan,5.2,Nan,Nan,25,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,1.0,0.0,0.0,1.0,6.0,3.0,,,,,Minibe (BETA UAS / PT Pindad),0.0,False,0.8563535911602209,True,0.0,False,1.856353591160221,0.1562413126173595,0.6187845303867403,0.5385986902437525,Kamikaze
Reach,Nan,Nan,26.93,16000,13,1.116152309124217,Nan,4.712,Nan,Nan,91.0,1800,20,35,13,Nan,Nan,6,Nan,7,0.05,25,Nan,31,54,84,Nan,15,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Reach,1.4628297362110312,True,0.4419889502762431,True,0.0,False,1.9048186864872743,0.14884962862463685,0.6349395621624248,0.5299675174404125,Vigilancia / fotogrametría y carga
Skyeye 5000 VTOL,Nan,Nan,30.16,Nan,Nan,2.615,Nan,3.5,Nan,0.375,100.0,800,8,42,Nan,Nan,Nan,5,Nan,25,Nan,28,Nan,Nan,Nan,75,Nan,Nan,Nan,Nan,Nan,28,Nan,Nan,Nan,13900,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Skyeye 5000 VTOL,1.6786570743405274,True,0.0,False,0.37267080745341613,True,2.0513278817939433,0.12856407230006514,0.6837759605979811,0.5047076336643775,Vigilancia / fotogrametría y carga
Integrator VTOL,Nan,5000,Nan,Nan,Nan,2.037590008568727,Nan,Nan,Nan,Nan,75.0,Nan,16,37.39932621900002,Nan,Nan,Nan,Nan,Nan,18,Nan,Nan,Nan,Nan,Nan,57,Nan,30,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,Integrator VTOL,1.079136690647482,True,0.0,False,0.0,False,2.079136690647482,0.12503811218801902,0.6930455635491607,0.500050811086984,Vigilancia / fotogrametría y carga
Orbiter 3,Nan,Nan,2.49,Nan,Nan,1.431654424102088,15.37972330341326,1.2,Nan,0.2015640956876207,32.0,50,6,36,Nan,Nan,Nan,4.4,0.3551341262174714,5.5,Nan,2.31,Nan,Nan,Nan,26.5,Nan,Nan,50,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,1.0,5.0,0.0,1.0,1.0,1.0,,,,,Orbiter 3,0.047961630695443645,True,0.22099447513812154,True,1.9490683229813661,True,2.2180244288149313,0.108823885934669,0.7393414762716438,0.47742820982930584,Vigilancia / fotogrametría y carga
AAI Aerosonde,Nan,5500,37.64,15000,Nan,0.57,14.754385964912283,1.7,Nan,Nan,13.1,3270,26,30.845724764736,Nan,Nan,Nan,2.9,0.196551724137931,Nan,Nan,34.94,Nan,10,Nan,Nan,Nan,Nan,150,23,98,Nan,Nan,1280,1.74,Nan,Nan,2.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,area del ala = cuerda * envergadura,AAI Aerosonde,0.0,False,1.1049723756906076,True,1.2347826086956517,True,2.3397549843862593,0.09635124289753216,0.7799183281287531,0.4584434517108509,Vigilancia / fotogrametría y carga
Integrator,Nan,Nan,30.49,19500,Nan,1.097774439984101,14.92608589158406,2.5,Nan,0.214605889652977,74.8,2445.12,24,46.3,Nan,Nan,Nan,4.8,0.3067215045531159,18,Nan,28.3,Nan,Nan,Nan,56.8,Nan,Nan,92.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,,Integrator,1.0743405275779374,True,0.8839779005524862,True,0.4099378881987578,True,2.368256316329181,0.09364386928757121,0.7894187721097271,0.4541086592103379,Vigilancia / fotogrametría y carga
HYFLY H510,Nan,Nan,29.84,Nan,Nan,Nan,Nan,Nan,Nan,Nan,75.0,Nan,Nan,Nan,Nan,Nan,Nan,3,Nan,10,Nan,27.7,Nan,Nan,Nan,65,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,4.0,4.0,4.0,4.0,5.0,3.0,,,,,HYFLY H510,1.079136690647482,True,0.0,False,0.3354037267080744,True,2.4145404173555565,0.08940842003906291,0.8048468057851855,0.44715642308972087,Carga
Skyeye 5000,60,Nan,35.55,Nan,15,2.615,Nan,3.5,Nan,0.375,90.0,950.4,8,42,15,Nan,Nan,5,Nan,20,Nan,33,Nan,32,Nan,70,Nan,Nan,Nan,Nan,Nan,28,1.2,Nan,Nan,9999,Nan,3.0,2.0,5.0,0.0,1.0,1.0,3.0,,,,,Skyeye 5000,1.4388489208633093,True,0.0,False,0.9937888198757763,True,2.432637740739086,0.08780492023931179,0.8108792469130286,0.44446709804544765,Vigilancia / fotogrametría y carga
Orbiter 4,Nan,Nan,Nan,Nan,Nan,Nan,12.90672317711597,1.2,Nan,0.2654501850685518,55.0,Nan,24,36,Nan,Nan,Nan,5.2,Nan,12,Nan,Nan,Nan,Nan,Nan,43,Nan,Nan,150,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,,Orbiter 4,0.5995203836930455,True,0.8839779005524862,True,0.0,False,2.4834982842455315,0.08345077981291367,0.8278327614151771,0.4369953339448996,Vigilancia / fotogrametría y carga
Aerosonde Mk. 4.8 VTOL FTUAS,Nan,Nan,Nan,15000,Nan,2.431295207422291,12.5,Nan,Nan,Nan,93.0,Nan,14,41.65020348237167,Nan,Nan,Nan,Nan,Nan,22.7,Nan,Nan,Nan,Nan,Nan,70.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,"velocidad a la que sea realiza el crucero en tas correccion por altura a la que se realiza el crucero, suponer un estnadar si no hay",Aerosonde Mk. 4.8 VTOL FTUAS,1.5107913669064748,True,0.0,False,0.0,False,2.5107913669064748,0.0812039516866855,0.8369304556354916,0.4330377139263492,Vigilancia / fotogrametría y carga
Volitation VT510,Nan,Nan,32.32,17000,25,2.623959453669779,Nan,2.905,Nan,Nan,100.0,540,5,50,25,Nan,Nan,5.1,Nan,25,Nan,30,Nan,Nan,Nan,75,Nan,Nan,Nan,Nan,Nan,25,5,Nan,Nan,16599,Nan,2.0,2.0,1.0,4.0,1.0,1.0,3.0,,,,,Volitation VT510,1.6786570743405274,True,0.3314917127071823,True,0.6211180124223602,True,2.63126679947007,0.07198721109165415,0.8770889331566899,0.41599213166911325,Vigilancia / fotogrametría y carga
Integrator Extended Range,Nan,Nan,7.87,19500,Nan,1.090022089071698,15.28157538474792,2.5,Nan,0.2107321047573626,74.8,500,19,46.3,Nan,Nan,Nan,4.8,0.3067215045531159,18,Nan,7.31,Nan,Nan,Nan,56.8,Nan,Nan,88.66105766749872,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,1.0,2.0,5.0,0.0,1.0,1.0,1.0,,,,,Integrator Extended Range,1.0743405275779374,True,0.3314917127071823,True,1.3279503105590063,True,2.733782550844126,0.06497306036994088,0.9112608502813754,0.402017021073194,Vigilancia / fotogrametría y carga
T-20,Nan,Nan,33.21,25000,Nan,1.069687872448058,12.59714372311251,2.9,Nan,0.2742075830097209,84.0,2663.71,24,38.61,Nan,Nan,Nan,5.3,0.3464441573768018,15,Nan,30.83,Nan,Nan,Nan,69,Nan,Nan,89,Nan,Nan,Nan,Nan,Nan,10,Nan,Nan,1.0,2.0,0.0,0.0,1.0,1.0,1.0,,,,,T-20,1.2949640287769784,True,0.8839779005524862,True,0.7242236024844718,True,2.9031655318139364,0.054849317694759626,0.9677218439379788,0.3799476328916557,Vigilancia / fotogrametría y carga
JOUAV CW-80E,Nan,Nan,35.87,20000,Nan,Nan,Nan,3,Nan,Nan,110.0,1198.8,10,37.5,Nan,Nan,Nan,5.2,Nan,25,Nan,33.3,Nan,Nan,Nan,85,Nan,17,200,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,2.0,1.0,2.0,4.0,1.0,1.0,3.0,,,,,JOUAV CW-80E,1.9184652278177456,True,0.0,False,1.0310559006211175,True,2.949521128438863,0.05236477594730504,0.983173709479621,0.3741218586088951,Vigilancia / fotogrametría y carga
Skyeye 5000 VTOL octo,Nan,Nan,37.7,Nan,24,2.615,Nan,3.5,Nan,0.375,100.0,Nan,Nan,38,24,Nan,Nan,5,Nan,15,Nan,35,Nan,35,Nan,85,Nan,Nan,Nan,Nan,Nan,28,Nan,Nan,Nan,15999,Nan,2.0,2.0,1.0,8.0,1.0,1.0,3.0,,,,,Skyeye 5000 VTOL octo,1.6786570743405274,True,0.0,False,1.2422360248447204,True,3.920893099185248,0.019823382589352574,1.3069643663950827,0.2706403756795964,Vigilancia / fotogrametría y carga
